rec_tourist_spots_geometry,rec_tourist_spots_tag,rec_tourist_spots_address,rec_tourist_spots_street,rec_tourist_spots_city
POINT (-6.2369889 53.3428817),restaurant,Charlotte Quay,Charlotte Quay,Dublin
POINT (-6.2439992 53.2886566),restaurant,The Counter,,
POINT (-6.2437598 53.2884302),restaurant,Wagamama,,Dundrum
POINT (-6.2440504 53.2887023),restaurant,Zizzi,,
POINT (-6.1778659 53.301222),restaurant,El Celler,,
POINT (-6.1793844 53.3020057),cafe,The Vanilla Pod Eatery,,
POINT (-6.2144599 53.2774167),restaurant,Woodfire & Green,,
POINT (-6.2480729 53.3489014),cafe,Bakehouse,Custom House Quay,Dublin
POINT (-6.1332391 53.294053),restaurant,Casper & Giumbini's,Marine Road,Dún Laoghaire
POINT (-6.2400557 53.3241453),cafe,Green Beards,Morehampton Road,Dublin
POINT (-6.2403298 53.3243202),restaurant,Avalon,Morehampton Road,
POINT (-6.1354411 53.2925641),cafe,Shoe Lane Coffee,Marine Road,
POINT (-6.2365788 53.3442725),cafe,Offbeat Donut Co,Hanover Quay,Dublin
POINT (-6.24385 53.3326428),cafe,Starbucks,Waterloo Road,Dublin
POINT (-6.1783967 53.3018455),cafe,Parlour,Rock Hill,Blackrock
POINT (-6.2250883 53.2702406),cafe,Ground Café and Eatery,,
POINT (-6.1803205 53.302192),restaurant,Dunne and Crescenzi,,
POINT (-6.1349958 53.2794375),cafe,Insomnia,Glenageary Road Upper,Dún Laoghaire
POINT (-6.2081542 53.3174962),restaurant,Bianconi's,Merrion Road,
POINT (-6.0638568 53.1268293),cafe,Costa,Charlesland Shopping Centre,Greystones
POINT (-6.2586111 53.3407734),cafe,Best Seller,Dawson Street,
POINT (-6.2320416 53.3293609),cafe,Sprout and Co,Pembroke Road,Dublin
POINT (-6.2320778 53.3293488),restaurant,The Lobster Pot,,
POINT (-6.2319611 53.3292976),pub,The Bridge 1859,Ballsbridge Terrace,Dublin
POINT (-6.2584652 53.3395136),restaurant,Hatch and Sons,,
POINT (-6.2485692 53.3362743),bar,Olive Green,,
POINT (-6.2486328 53.336316),cafe,O'Briens,,
POINT (-6.2430867 53.3334121),restaurant,Tolteca,Baggot Street Upper,Dublin
POINT (-6.2457526 53.3337143),restaurant,Freshii,,
POINT (-6.1318847 53.2929524),cafe,Ink @ dlr LexIcon,Haigh Terrace,Dún Laoghaire
POINT (-6.1353989 53.2918702),cafe,Bon Cafe,George's Street Upper,Dún Laoghaire
POINT (-6.1349554 53.2918971),cafe,O'Brien's,Georges Street Upper,
POINT (-6.1434195 53.2950237),restaurant,Delhi Rasoi,,
POINT (-6.2368747 53.322679),restaurant,Mulberry Garden,Mulberry Lane,
POINT (-6.1992986 53.2884806),restaurant,Camile,Kilmacud Road Lower,
POINT (-6.2340143 53.3439745),cafe,Calimero Café,,
POINT (-6.2557784 53.3458262),restaurant,Ku Raudo Sushi & Bento,Townsend Street,Dublin
POINT (-6.1801429 53.3018987),cafe,Wonder Photo Shop,,
POINT (-6.251409 53.3420313),cafe,,,
POINT (-6.1613764 53.2664928),restaurant,Dunnes Stores Restaurant,Old Bray Road,
POINT (-6.1610049 53.2667594),cafe,Café Sol,Bray Road,
POINT (-6.2552509 53.3471648),cafe,Shoe Lane Coffee,Tara Street,Dublin
POINT (-6.244184 53.3491745),bar,Drunken Fish,Mayor Street Lower,Dublin
POINT (-6.2480644 53.3491172),pub,Urban Brewing,Custom House Quay,Dublin
POINT (-6.1241765 53.1472489),cafe,Brambles,,
POINT (-6.2586045 53.3396122),cafe,Tang,Dawson Street,Dublin
POINT (-6.2603223 53.2957712),pub,Churchtown Stores,Braemor Road,Churchtown
POINT (-6.2384786 53.3129728),cafe,Eataly,Richview Office Park,
POINT (-6.2561461 53.3392353),bar,The Saddle Room,St. Stephen's Green,
POINT (-6.2545268 53.3382919),pub,Chambers,Merrion Row,
POINT (-6.2350314 53.3212595),restaurant,Khan Balti House,Donnybrook Road,
POINT (-6.2157739 53.309131),cafe,Barista,,
POINT (-6.2148981 53.3085991),cafe,Insomnia,Stillorgan Road,Dublin
POINT (-6.2035403 53.2980483),cafe,A Cafe,Stillorgan Road,
POINT (-6.2029446 53.2952467),bar,Brass,Stillorgan Road,
POINT (-6.243558 53.3397962),cafe,Staple Foods,Grattan Street,
POINT (-6.2554274 53.3422203),cafe,Kilkenny Cafe and Restaurant,Nassau Street,Dublin
POINT (-6.0636801 53.1452046),restaurant,Las Tapas,Church Road,
POINT (-6.0638611 53.145004),pub,Mrs Robinson,Church Road,Greystones
POINT (-6.0644286 53.1455822),restaurant,Sonny's,Church Road,
POINT (-6.0643727 53.1443906),theatre,Whale Theatre,Theatre Lane,
POINT (-6.2519867 53.3499005),cafe,Gerard's Café,Store Street,
POINT (-6.254063 53.3419563),cafe,Coffee Angel,Leinster Street South,Dublin
POINT (-6.2518955 53.3367901),cafe,Coffee Angel,Pembroke Street Lower,
POINT (-6.2476782 53.3478937),cafe,Coffee Angel,Custom House Quay,Dublin
POINT (-6.2516735 53.3316891),cafe,3fe / Victoria Arduino,Sussex Terrace,
POINT (-6.0616777 53.1440588),restaurant,Izakaya Restaurant Hasu,Church Road,
POINT (-6.0617863 53.1442941),cafe,Cafe Gray,Church Road,
POINT (-6.2385576 53.3226498),restaurant,Courtyard Bar & Grill,Belmont Avenue,
POINT (-6.0660191 53.1497613),cafe,La Creperie,Victoria Road,
POINT (-6.0663712 53.1499605),pub,W.H. Dann and Son,Victoria Road,Greystones
POINT (-6.0633334 53.1468031),cafe,The Fat Fox,Trafalgar Road,
POINT (-6.0655636 53.1497745),cafe,Spendlove Furniture Ltd.,Trafalgar Road,
POINT (-6.2349128 53.3210149),cafe,Caffè Nero,,
POINT (-6.2384023 53.3227993),restaurant,O' Connells Belmont Room,Morehampton Road,
POINT (-6.2405098 53.3244849),cafe,Cafe Java,Morehampton Road,Dublin
POINT (-6.2429263 53.3258736),nightclub,Vanilla,Morehampton Road,Dublin
POINT (-6.2258038 53.2226024),restaurant,The GAP Kitchen,Ballybrack Road,
POINT (-6.2453642 53.3050101),restaurant,Steps of Rome,Dundrum Road,
POINT (-6.2535396 53.3499811),restaurant,Zucconi Sushi Bar,Frenchman's Lane,
POINT (-6.2436456 53.3434641),restaurant,Grain & Grill Restaurant,Pearse Street,Dublin
POINT (-6.2436233 53.3435319),bar,Grain & Grill Bar,Pearse Street,Dublin
POINT (-6.2436333 53.343498),cafe,Red Bean Roastery,Pearse Street,Dublin
POINT (-6.2541528 53.3419802),cafe,Brewbaker Cafe,Leinster Street South,Dublin
POINT (-6.2338372 53.3320915),restaurant,Raglans Restaurant,Pembroke Road,Dublin
POINT (-6.2337649 53.3320387),cafe,Red Bean Roastery,Pembroke Road,Dublin
POINT (-6.243159 53.2882804),restaurant,Dunne & Crescenzi,Town Square,Dundrum
POINT (-6.2527069 53.3378448),restaurant,Brookwood,Baggot Street Lower,Dublin
POINT (-6.1782091 53.3017407),restaurant,Ruchii,Main Street,Blackrock
POINT (-6.1072721 53.2782221),cafe,Mugs,Castle Street,Dalkey
POINT (-6.2576936 53.3413411),cafe,Le Pain Quotidien,Molesworth Street,
POINT (-6.1703226 53.1931555),restaurant,Powerscourt Arms Country House,,
POINT (-6.2531219 53.3383139),restaurant,Pearl Brasserie,,
POINT (-6.2461616 53.3493346),cafe,Coffee Angel,,
POINT (-6.1108707 53.2008749),restaurant,Mt. Everest of Kathmadu,Main Street,Bray
POINT (-6.2532894 53.3381577),cafe,Lolly & Cooks,Merrion Street Upper,
POINT (-6.258002 53.3414179),restaurant,The Ivy,Dawson Street,Dublin
POINT (-6.2138032 53.2526371),restaurant,Quattro,The Village,
POINT (-6.2133519 53.2524744),cafe,Fern and Co.,The Village,
POINT (-6.2132742 53.2524214),restaurant,Fern and Co.,The Village,
POINT (-6.185688 53.2502664),cafe,The Picnic Cafe,,
POINT (-6.1580359 53.2754123),cafe,Little Frieda's,Pottery Road,Dún Laoghaire
POINT (-6.1348645 53.2932038),cafe,Costa,Marine Road,
POINT (-6.1365693 53.2936406),cafe,Wild Spot Nutrition,Georges Street Upper,Dún Laoghaire
POINT (-6.2273703 53.3485324),restaurant,Ruby's,,Dublin
POINT (-6.2583941 53.3415994),cafe,Dolce Sicily,Dawson Street,
POINT (-6.2445263 53.2900047),cafe,Essence Pattisserie Dundrum,Main Street,
POINT (-6.256718 53.335994),cafe,Emer's Kitchen,Leeson Street Lower,
POINT (-6.2568956 53.3358387),cafe,Gerard's,Leeson Street Lower,
POINT (-6.2304983 53.3290833),restaurant,Girl and the Goose,Merrion Road,Dublin
POINT (-6.1074248 53.2782153),cafe,Gary's Gourmet Pizza,Castle Street,Dalkey
POINT (-6.1412783 53.2775311),cafe,Igo Cafe,Sallynoggin Road,
POINT (-6.1414661 53.2777396),cafe,Luna Coffee,O'Rourke Park,
POINT (-6.2583985 53.3487197),cafe,Tang,Abbey Street Lower,
POINT (-6.2576775 53.3484115),cafe,Del Rio's Cafe,Marlborough Street,
POINT (-6.0629807 53.1443887),restaurant,Royal Park,,
POINT (-6.0632177 53.1440986),restaurant,Chakra by Jaipur,Meridian Point Shopping Centre,
POINT (-6.1398366 53.2938362),restaurant,Soup,Georges Street Lower,Dún Laoghaire
POINT (-6.1374501 53.2929709),pub,The Lighthouse,Georges Street Lower,Dún Laoghaire
POINT (-6.1384097 53.2933769),cafe,Chocolate Cafe,Georges Street Lower,Dún Laoghaire
POINT (-6.1404408 53.2942446),cafe,Belli Dentro,Georges Street Lower,Dún Laoghaire
POINT (-6.1396047 53.2929183),cafe,Starbucks,,Dún Laoghaire
POINT (-6.1593443 53.2819004),restaurant,Maxims,Abbey Road,Deansgrange
POINT (-6.1594436 53.2818812),cafe,Gill and Hock,Abbey Road,Deansgrange
POINT (-6.2300094 53.3484935),cafe,Insomnia,,
POINT (-6.238525 53.3487862),cafe,Boca,,
POINT (-6.2433386 53.349625),restaurant,Kyoto Street Eats,Mayor Square,Dublin
POINT (-6.2444574 53.3491854),restaurant,Drunken Fish Bar,Mayor Street Lower,Dublin
POINT (-6.243909 53.34792),restaurant,Milano,Excise Walk,Dublin
POINT (-6.1243322 53.2300112),pub,Mickey Byrne's Bar,Main Street,
POINT (-6.1243265 53.2300859),restaurant,Graces Garden,Main Street,
POINT (-6.2552774 53.3382819),restaurant,The Grayson,St. Stephen's Green,Dublin
POINT (-6.242552 53.2687967),cafe,Alex's,Blackglen Village Centre,
POINT (-6.2250475 53.3304575),cafe,The Orange Goat,,
POINT (-6.2372016 53.3058787),cafe,Grounded,,
POINT (-6.2587337 53.295411),restaurant,Union Cafe,,
POINT (-6.0618762 53.1441475),cafe,Eleven Deli,Church Road,
POINT (-6.0619152 53.144361),cafe,Relish,,
POINT (-6.0609126 53.1439832),cafe,Bailey and Pim,,Greystones
POINT (-6.2460757 53.2910804),restaurant,Relish,,
POINT (-6.2524807 53.3380216),cafe,Ethos,,
POINT (-6.1321615 53.2904737),cafe,The Art of Coffee,Georges Street Upper,Dún Laoghaire
POINT (-6.1290671 53.289439),cafe,SI Café,Park Road,Dún Laoghaire
POINT (-6.2438545 53.3346076),restaurant,Asador,,
POINT (-6.2528207 53.3499928),restaurant,Il Vignardo Restaurant,Store Street,
POINT (-6.2516538 53.3447401),cafe,Bread 41,Pearse Street,Dublin
POINT (-6.1784537 53.3021039),restaurant,Old Post Office,Rock Hill,Blackrock
POINT (-6.2566705 53.3502823),restaurant,The Italian Connection,Talbot Street,Dublin
POINT (-6.2567291 53.3502744),cafe,Loops,Talbot Street,Dublin
POINT (-6.1228207 53.2336712),cafe,Costa,,
POINT (-6.2362454 53.3281348),cafe,Lolly and Cooks,,
POINT (-6.0635049 53.1448763),restaurant,Ichiban Ramen & Sushi,Church Road,
POINT (-6.1263585 53.1422464),bar,The Garden Bar,,
POINT (-6.2436435 53.2882375),restaurant,First Floor Restaurant & Bar,Sandyford Road,Dundrum
POINT (-6.1377494 53.2929088),cafe,Dall' Italia,Georges Street Lower,Dún Laoghaire
POINT (-6.1778267 53.3012365),cafe,The Cake Room,Blackrock Market,Blackrock
POINT (-6.1815718 53.3010964),cafe,Caffè Nero,,
POINT (-6.1820948 53.3009522),restaurant,Kay's Kitchen,,
POINT (-6.2389879 53.3426949),cafe,Caffè Nero,Grand Canal Square,Dublin
POINT (-6.2413125 53.2878771),restaurant,Ananda Restuarant,Sandyford Road,Dundrum
POINT (-6.1359008 53.292096),cafe,The Savoury Café,George's Street Upper,Dún Laoghaire
POINT (-6.254771 53.342118),pub,J.P. Mooney's,Nassau Street,
POINT (-6.0642113 53.1450976),restaurant,Daata Tandoori,,
POINT (-6.1338071 53.2928461),cafe,The Vanilla Pod Eatery,Marine Walk,
POINT (-6.2280282 53.3485971),restaurant,Freshii,,Dublin
POINT (-6.0631673 53.144986),restaurant,Camile Thai,Church Road,
POINT (-6.0662383 53.1499114),pub,The Beach House,Victoria Road,Greystones
POINT (-6.2423577 53.3383803),cafe,The Punnet Food Emporium,Mount Street Lower,Dublin
POINT (-6.2563822 53.3422549),cafe,Tiller and Grain,South Frederick Street,Dublin
POINT (-6.1285109 53.1805814),cafe,Red Bird Cafe,,
POINT (-6.1299768 53.1803806),cafe,Costa,,
POINT (-6.2504333 53.3470525),cafe,As One,City Quay,Dublin
POINT (-6.2502667 53.3470306),cafe,1925,City Quay,
POINT (-6.202733 53.3133561),restaurant,Elm Epicurean,Llandaff Terrace,Dublin
POINT (-6.2507468 53.3468977),restaurant,As One,City Quay,Dublin
POINT (-6.243755 53.3335571),restaurant,Saba,Baggot Street Upper,
POINT (-6.1110088 53.200298),cafe,Uncle Pan's Cafe,,
POINT (-6.2556243 53.3257418),restaurant,,Ranelagh,Dublin
POINT (-6.10038 53.1611591),cafe,Bak'd at Arthur's Barn,,
POINT (-6.2477778 53.3357667),restaurant,Chai Yo,Lower Baggot Street,Dublin
POINT (-6.1302061 53.2920486),pub,The Library Bar,,
POINT (-6.1505787 53.2610418),restaurant,Tamra,,
POINT (-6.1334757 53.2562068),cafe,Mikka's,,
POINT (-6.0896375 53.1326539),cafe,The Fat Fox,Church Road,
POINT (-6.2338734 53.3312958),cafe,The Art of Coffee,Pembroke Road,Dublin
POINT (-6.1626079 53.2883036),cafe,Mint,,
POINT (-6.1393002 53.2442048),cafe,Starbucks,,
POINT (-6.2334129 53.3454629),cafe,Cafesora,Sir John Rogerson's Quay,Dublin
POINT (-6.1144864 53.207514),cafe,,Upper Dargle Road,
POINT (-6.2253611 53.2704945),restaurant,Delhi Rasoi,,Sandyford
POINT (-6.1153212 53.2643258),cafe,Eleven Deli,,
POINT (-6.1415552 53.2779505),cafe,The Loft,O'Rourke Park,Sallynoggin
POINT (-6.1418402 53.2694913),restaurant,The Lodge,,
POINT (-6.2144997 53.3320556),restaurant,Pete's Restaurant,,
POINT (-6.2152359 53.2742794),cafe,Insomnia,Furze Road,
POINT (-6.2151139 53.3322548),bar,Mario's Cafe Bar,Sandymount Green,Dublin
POINT (-6.2159007 53.3325794),cafe,Cafe Java,,
POINT (-6.2157395 53.3324557),restaurant,Indie Spice Grill,,
POINT (-6.2325515 53.3471813),pub,The Bottle Bar,North Wall Quay,Dublin
POINT (-6.2508027 53.3235612),cinema,Stella Cinema Ranelagh,Ranelagh,Dublin
POINT (-6.1099354 53.2015096),restaurant,Koi,Main Street,Bray
POINT (-6.1100185 53.2015305),restaurant,Ling's,Main Street,Bray
POINT (-6.2453788 53.3464079),pub,Dockers,Sir John Rogerson's Quay,Dublin
POINT (-6.1037448 53.2773322),restaurant,Kathmandu,Castle Street,Dalkey
POINT (-6.103382 53.2763984),restaurant,The Guinea Pig,Railway Road,
POINT (-6.1036429 53.2772745),restaurant,Grapevine,Castle Street,Dalkey
POINT (-6.104178 53.2774573),restaurant,Ouzos,Castle Street,
POINT (-6.1032307 53.2767447),restaurant,Thai House,Railway Road,Dalkey
POINT (-6.1049483 53.277597),restaurant,Benito's Restaurant,Castle Street,Dalkey
POINT (-6.1358716 53.2674881),cafe,Solo,,
POINT (-6.1358053 53.2671797),restaurant,Green Dragon Well,,
POINT (-6.1388127 53.2784637),cafe,Tin Can Coffee,,
POINT (-6.1108245 53.2611921),cafe,Fred & Nancy's,,
POINT (-6.2129147 53.3416513),cafe,Deeke's Diner,,
POINT (-6.2276601 53.3423642),pub,The Shipwright,Thorncastle Street,Dublin
POINT (-6.2558817 53.3468905),restaurant,Gursha,Poolbeg Street,Dublin
POINT (-6.1814457 53.3033172),cafe,The Bumble Bean,,
POINT (-6.2347757 53.344653),restaurant,Staple Foods,,Dublin
POINT (-6.2569258 53.3472214),cafe,Le Rendez-vous,Burgh Quay,Dublin
POINT (-6.2433384 53.3464449),restaurant,Sprout & Co,,
POINT (-6.1383178 53.2926759),cafe,Phoenix Bistro,Convent Lane,
POINT (-6.1042893 53.277499),restaurant,Jaipur,Castle Street,Dalkey
POINT (-6.1035839 53.2771021),restaurant,1909 Restaurant and Wine Bar,Castle Street,Dalkey
POINT (-6.1037958 53.2771863),cafe,Thyme Out,Castle Street,Dalkey
POINT (-6.103887 53.277224),cafe,Country Bake,Castle Street,Dalkey
POINT (-6.1803353 53.3021134),cafe,Butlers Chocolate Café,,
POINT (-6.1244229 53.2300139),pub,Brady's Shankill,,
POINT (-6.1301708 53.2896501),restaurant,Harbour House,,
POINT (-6.2427644 53.2880836),cafe,Deadly Coffee,,
POINT (-6.2290626 53.2635612),cafe,The Nineteenth Bean Café,"Enniskerry Road, Sandyford, Dublin 7Q7C+C9",
POINT (-6.0956311 53.1985529),restaurant,The Curry Leaf,Strand Road,Bray
POINT (-6.2238792 53.3399045),cafe,D4 Deli,Irishtown Road,Dublin
POINT (-6.0615778 53.1480396),cafe,Rise at the Cove,Marine Road,
POINT (-6.2497614 53.3443519),cafe,Cloud Picker Coffee,Pearse Street,Dublin
POINT (-6.1994882 53.289285),cafe,Coco's Crêperie,,
POINT (-6.1034168 53.1819724),cafe,Killruddery Grain Store Restaurant,,
POINT (-6.224078 53.3400487),cafe,Riccy's Youth Cafe,Irishtown Road,Dublin
POINT (-6.2533742 53.3323804),cafe,Perch Coffee,Adelaide Road,Dublin
POINT (-6.2309501 53.3452741),restaurant,Bites by Kwanghi,,
POINT (-6.2432217 53.2887208),restaurant,Loft at Donnybrook Fair,Sandyford Road,Dundrum
POINT (-6.2539257 53.333517),cafe,Starbucks,Leeson Street Lower,Dublin
POINT (-6.2507516 53.3421535),pub,Kennedy's,Westland Row,Dublin
POINT (-6.2506343 53.3418788),cafe,Cafe Tri Via,Lincoln Place,Dublin
POINT (-6.2309721 53.3292555),cafe,Mister Magpie,Merrion Road,Dublin
POINT (-6.2446892 53.3465569),cafe,Gerards,Sir John Rogerson's Quay,Dublin
POINT (-6.2488844 53.3441467),cafe,Honey Truffle,Pearse Street,Dublin
POINT (-6.236351 53.3486668),cafe,Red Bean Roastery,,Dublin
POINT (-6.2274854 53.3420529),pub,The Yacht,Thorncastle Street,Dublin
POINT (-6.2194514 53.3033087),cafe,The Buzz,,
POINT (-6.1324686 53.2854363),cafe,SUP Coffee,Glenageary Road Lower,Dún Laoghaire
POINT (-6.2187307 53.1648529),cafe,Mobile Cafe,,
POINT (-6.0820189 53.1522918),restaurant,Zenobia,,
POINT (-6.1179191 53.2308),cafe,Inhale Coffee Bar,,
POINT (-6.2492664 53.3418464),cafe,Steam Cafe,Fenian Street,Dublin
POINT (-6.2507724 53.3432422),cafe,Junior Common Room,Parade Ground,
POINT (-6.2444815 53.3334295),cafe,Insomnia,Baggot Street Upper,Dublin
POINT (-6.2447009 53.3335739),cafe,Eathos,Baggot Street Upper,Dublin
POINT (-6.2516295 53.331314),pub,M. O’Brien,Sussex Terrace,Dublin
POINT (-6.2516687 53.330536),restaurant,Indo-Chine,Leeson Street Upper,Dublin
POINT (-6.2556319 53.3483928),bar,Cois Life Bar,Eden Quay,Dublin
POINT (-6.2571684 53.3359778),cafe,Mister Magpie,Leeson Street Lower,Dublin
POINT (-6.2569588 53.3358699),cafe,Insomnia,Leeson Street Lower,Dublin
POINT (-6.1670546 53.2698974),restaurant,Kobe One,,
POINT (-6.1659378 53.268155),cafe,Delishies,Old Bray Road,
POINT (-6.2586168 53.3407047),bar,Café en Seine,Dawson Street,Dublin
POINT (-6.1373386 53.2929326),cafe,Bailey and Pim,,
POINT (-6.1377297 53.291154),cafe,Blue Chamomile,Patrick Street,
POINT (-6.1776709 53.3014578),cafe,Mina,Main Street,Blackrock
POINT (-6.1104584 53.2061555),pub,O'Sullivan's,Castle Street,Bray
POINT (-6.2192105 53.3032488),bar,The Local,,
POINT (-6.248921 53.3443777),restaurant,Ninja Sushi,Lombard Street East,Dublin
POINT (-6.2296624 53.3274636),bar,Centurion Bar,,
POINT (-6.2300984 53.3289447),restaurant,,Merrion Road,Dublin
POINT (-6.1671235 53.2699805),cafe,The Coffee Duck,,
POINT (-6.2583906 53.3398971),restaurant,The Lennan,,
POINT (-6.1834825 53.2663963),restaurant,Pala Pizza,,
POINT (-6.1837835 53.2660347),cafe,Grumps,,
POINT (-6.1841482 53.2666219),restaurant,Kerb,,
POINT (-6.214149 53.279438),cafe,Square One Café,Blackthorn Drive,
POINT (-6.2095561 53.2665138),cafe,Mugg Uggly,Murphystown Road,
"POLYGON ((-6.2206234 53.3056629, -6.2211546 53.3054314, -6.2207782 53.3051231, -6.220247 53.3053546, -6.2204228 53.3055027, -6.2204723 53.3055446, -6.2205607 53.3056182, -6.2206234 53.3056629))",restaurant,GM Hopkins International Centre and Restaurant,,
"POLYGON ((-6.2279279 53.3470347, -6.2279661 53.3470373, -6.227988 53.3469209, -6.2288345 53.3469776, -6.2288112 53.347101, -6.229097 53.3471202, -6.228937 53.3480292, -6.228935 53.3480407, -6.2286407 53.3480162, -6.2286345 53.3480494, -6.2277479 53.3479899, -6.2279279 53.3470347))",theatre,3Arena,Northwall Quay,Dublin
"POLYGON ((-6.2342127 53.3123797, -6.2342505 53.3123859, -6.2342896 53.3123848, -6.2343262 53.3123765, -6.2343567 53.3123619, -6.2343795 53.3123403, -6.2343888 53.3123154, -6.2343834 53.3122901, -6.2343641 53.3122673, -6.234333 53.3122498, -6.2342939 53.3122396, -6.2342513 53.3122378, -6.2342102 53.3122448, -6.2341754 53.3122597, -6.2341511 53.3122807, -6.2341405 53.3123032, -6.2341421 53.3123266, -6.2341557 53.3123485, -6.2341801 53.3123668, -6.2342127 53.3123797))",restaurant,Berman & Wallace,Belfield Office Park,
"POLYGON ((-6.2576827 53.3451627, -6.2574612 53.3451588, -6.257473 53.3449204, -6.2573948 53.344919, -6.2573964 53.3448869, -6.2574 53.3448227, -6.2575882 53.3448262, -6.257766 53.3448294, -6.2577648 53.3448945, -6.2577615 53.3449205, -6.2576936 53.3449194, -6.2576827 53.3451627))",restaurant,The Old Dining Hall,,
"POLYGON ((-6.2192133 53.2217998, -6.2192666 53.2218769, -6.2190061 53.2219414, -6.2188954 53.221762, -6.219316 53.2216421, -6.2192836 53.2215831, -6.2195255 53.221537, -6.2196048 53.2217303, -6.219516 53.2217523, -6.2194923 53.2217181, -6.2194007 53.2217408, -6.2194081 53.2217515, -6.2192133 53.2217998))",pub,Johnnie Fox's,Ballybetagh Road,
"POLYGON ((-6.1848094 53.2506556, -6.184779 53.2507887, -6.1847011 53.2507823, -6.1846293 53.2507764, -6.1846597 53.2506434, -6.1848094 53.2506556))",cafe,Costa,The Park,
"POLYGON ((-6.2405316 53.3443976, -6.2405287 53.3441156, -6.2401016 53.3440069, -6.2397926 53.3439283, -6.2395622 53.3438696, -6.239345 53.3443146, -6.2403288 53.3443834, -6.2405316 53.3443976))",theatre,Bord Gáis Energy Theatre,Grand Canal Square,Dublin
"POLYGON ((-6.1579479 53.280705, -6.1577121 53.2807271, -6.1577049 53.2806994, -6.1575633 53.2807126, -6.1575559 53.2806844, -6.1575443 53.2806855, -6.1575338 53.2806454, -6.1574913 53.2806494, -6.1574685 53.2805625, -6.1574282 53.2805663, -6.1573946 53.2804382, -6.1578664 53.2803941, -6.1579479 53.280705))",pub,Bakers Corner,Rochestown Avenue,
"POLYGON ((-6.2361472 53.3407537, -6.2361859 53.3407747, -6.2361889 53.3407916, -6.2360759 53.3407829, -6.2360771 53.3407706, -6.2361472 53.3407537))",restaurant,Yoi Ramen,Barrow Street,Dublin
"POLYGON ((-6.1436267 53.276916, -6.1438216 53.2771234, -6.1434746 53.2772601, -6.1434116 53.2772057, -6.1433792 53.2772219, -6.1433115 53.2771393, -6.1432687 53.2771523, -6.1431067 53.2770039, -6.1432328 53.2769497, -6.1431962 53.2769162, -6.1434705 53.2768007, -6.1435101 53.2768303, -6.1436015 53.27679, -6.1436439 53.2768264, -6.1435743 53.2768579, -6.1436267 53.276916))",pub,The Sallynoggin Inn,Sallynoggin Road,
"POLYGON ((-6.1377144 53.2912858, -6.1376704 53.2913248, -6.1375554 53.2912784, -6.1375994 53.2912395, -6.1377144 53.2912858))",restaurant,Zero Zero Pizza,Patrick Street,
"POLYGON ((-6.1371636 53.2918277, -6.1371232 53.291864, -6.1369794 53.2918067, -6.1370198 53.2917704, -6.1371636 53.2918277))",restaurant,Kyoto Asian Street Food,Patrick Street,
"POLYGON ((-6.1546179 53.2945109, -6.1545867 53.2945588, -6.1547613 53.2945994, -6.1548227 53.2945051, -6.1547727 53.2944934, -6.1547424 53.2945398, -6.1546982 53.2945296, -6.154731 53.2944792, -6.1546507 53.2944606, -6.1546179 53.2945109))",theatre,Lambert Puppet Theatre,Clifton Lane,
"POLYGON ((-6.1544313 53.2936163, -6.154353 53.2935931, -6.1544851 53.2934336, -6.1545634 53.2934567, -6.1544313 53.2936163))",restaurant,Lobstar,Monkstown Road,
"POLYGON ((-6.1533274 53.2940165, -6.1533259 53.2939502, -6.153405 53.2939501, -6.1534051 53.2940158, -6.1534662 53.2940158, -6.1534662 53.2940729, -6.1533247 53.294071, -6.1533274 53.2940165))",restaurant,F.X.Buckley Steakhouse,Monkstown Crescent,
"POLYGON ((-6.1547528 53.2934968, -6.1546101 53.2936691, -6.1544313 53.2936163, -6.1545634 53.2934567, -6.154574 53.2934439, -6.1547528 53.2934968))",pub,Goggins,Monkstown Road,
"POLYGON ((-6.153187 53.294014, -6.1532524 53.2940152, -6.1532558 53.2939477, -6.1533259 53.2939502, -6.1533274 53.2940165, -6.1533247 53.294071, -6.1533188 53.294191, -6.1531784 53.2941885, -6.1531843 53.2940685, -6.153187 53.294014))",restaurant,Bresson,Monkstown Crescent,
"POLYGON ((-6.1509876 53.2938987, -6.1511234 53.2938987, -6.1511234 53.2939608, -6.1509876 53.2939608, -6.1509876 53.2938987))",cafe,Cafe Du Journal,Monkstown Crescent,
"POLYGON ((-6.1536801 53.2942707, -6.1536863 53.2942108, -6.15355 53.2942058, -6.1534358 53.2942015, -6.1534218 53.2942609, -6.1536801 53.2942707))",restaurant,Amerta,Clifton Avenue,
"POLYGON ((-6.1520786 53.2939419, -6.1522172 53.2939545, -6.1522032 53.2940095, -6.1520646 53.2939969, -6.1520786 53.2939419))",cafe,Salt Cafe at Avoca Courtyard,Monkstown Crescent,
"POLYGON ((-6.1542039 53.293549, -6.1541338 53.2935283, -6.15422 53.293424, -6.1542902 53.2934448, -6.1542039 53.293549))",restaurant,That's Amore,Monkstown Road,
"POLYGON ((-6.1393524 53.2947308, -6.1390286 53.2946243, -6.1391043 53.294542, -6.1393412 53.2946199, -6.1394281 53.2946485, -6.1393524 53.2947308))",pub,The Yacht Tavern,Wellington Street,
"POLYGON ((-6.1364724 53.2925345, -6.1365679 53.2925744, -6.1364776 53.2926516, -6.1363821 53.2926116, -6.1364724 53.2925345))",cafe,Gourmet Cafe,Georges Street Lower,Dún Laoghaire
