motorcar,geometry,addr:street,amenity,brand,brand:wikidata,brand:wikipedia,name,operator,addr:housename,opening_hours,operator:wikidata,operator:wikipedia,phone,website,access,fee,parking,addr:city,addr:postal_district,capacity,layer,addr:country,addr:housenumber,payment:account_cards,ref,note,source,covered,level,location,description,payment:contactless,short_name,highway,socket:type2,socket:type2:output,maxstay,socket:chademo,socket:chademo:output,amperage,voltage,socket:type2_combo,socket:type2_combo:output,office,authentication:app,authentication:contactless,charging_station:capacity,authentication:none,charge,socket:combo,socket:combo:output,parking:fee,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,manufacturer,authentication:nfc,charging_station:output,nodes
,POINT (-6.2163009 53.3831549),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,TEV013,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.231812 53.3470714),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C7FWZ,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2563257 53.3668918),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C7B3X,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2963324 53.3830874),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,TEV029,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2732059 53.3474667),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C7NWV,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2649434 53.3533028),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C7YS8,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2671093 53.3583055),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C8YCN,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2521625 53.3366637),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C5C64,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2428154 53.3365428),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C8W33,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2927423 53.3459928),,charging_station,,,,,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C7RKL,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3336747 53.3166236),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C7NP3,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3720758 53.3318963),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C89GL,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2663097 53.3213052),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,TEV003,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.4590101 53.3534016),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,TEV005,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.5446056 53.3440757),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,TEV049,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2535256 53.3724424),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,,,no,,,,2,,,,,IE*EGO0125,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2560516 53.3720105),,charging_station,,,,EasyGo Fast Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,,yes,,,,1,,,,,,,,,,,,yes,,,,,,1,50kW,,,1,50kW,,yes,yes,,,,,,,,,,,,
yes,POINT (-6.5317295 53.3368561),,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.4186497 53.2851393),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,,no,,,,2,,,,,IE*EGO0102,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.1396636 53.2770484),,charging_station,,,,EV Charge Point,FLYEfit Sallynoggin,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1611602 53.3944227),,charging_station,,,,,,,,,,,,customers,no,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,POINT (-6.4738937 53.3457415),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,,no,,,,2,,,,,IE*EGO0154,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2657187 53.3980456),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,,no,,,,2,,,,,IE*EGO0126,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
yes,POINT (-6.2742991 53.4071024),,charging_station,,,,EasyGo Charging Station,EasyGo,,,Q110158632,,,https://easygo.ie/,customers,yes,,,,2,,,,,IE*EGO0162-01;IE*EGO0162-02,,,,,,,,,,2,7kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.4735712 53.4209211),,charging_station,,,,SuperValu Charge Point,EasyGo;SuperValu,,,,,,,,no,,,,2,,,,,IE*EGO0033,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.134086 53.2933539),,charging_station,,,,GOCharge Charging Station,GOcharge,,,Q111724598,,,https://www.gocharge.ie/,,yes,,,,2,,,,,IEGOC-EVBDS105,,,,,,,,,,2,7kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.1334119 53.2919501),,charging_station,,,,GOCharge Charging Station,GOcharge,,,Q111724598,,,https://www.gocharge.ie/,,yes,,,,2,-1,,,,IEGOC-EVBDS104,,,,,indoor,,,,,2,7kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2181497 53.4116057),,charging_station,,,,EasyGo Charging Stations,EasyGo,,,Q110158632,,,https://easygo.ie/,,yes,,,,4,,,,,IE*EGO0186,,,,,indoor,,,,,4,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.3935796 53.3136362),,charging_station,,,,EasyGo Charging Station,EasyGo,,,Q110158632,,,https://easygo.ie/,,yes,,,,2,,,,,IE*EGO0194,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.240632 53.2882447),,charging_station,,,,char.gy Charging Station,char.gy,,,,,,https://char.gy/00540,permit,no,,,,1,,,,,00540,,,,,,,,,,2,7.4kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2407343 53.2864728),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,4,,,,,C6UXP;C8NG2,,,,2M,indoor,,,,,4,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2406762 53.2865069),,charging_station,,,,PodPoint Charging Station,PodPoint,,,Q42888154,en:Pod Point,,,,no,,,,7,,,,,Joey-Liam;Jake-Jean;Skye-Hugh;Ralf-Levi,,,,2,indoor,,,,,7,7kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2425268 53.2878128),,charging_station,,,,EV Charging Station,Dundrum Town Centre,,,,,,,,no,,,,2,,,,,,,,,-2,,,,,,2,7kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2314708 53.4251635),,charging_station,,,,DubinAirport Vehicle Charging Point,ePower,,,Q25312670,,,https://www.epower.ie,private,yes,,,,6,,,,,eP0266;eP0268;eP0203,Taxi-only.,,,,,,,,,2,22kW,,2,50kW,,,2,150kW,,,,,,,,,,,,,,,
,POINT (-6.2142254 53.2762191),,charging_station,,,,,ubitricity,,,,,,https://www.ubitricity.com,,yes,,,,1,,,,,suby1100009231,,,,,,,,,street_lamp,1,5.5kW,,,,,,,,,yes,,,,,,,,,,,,,
,POINT (-6.213893 53.2761059),,charging_station,,,,,ubitricity,,,,,,https://www.ubitricity.com,,yes,,,,1,,,,,suby1100009232,,,,,,,,,street_lamp,1,5.5kW,,,,,,,,,yes,,,,,,,,,,,,,
,POINT (-6.2122214 53.2755595),,charging_station,,,,,ubitricity,,,,,,https://www.ubitricity.com,,yes,,,,1,,,,,suby1100009379,,,,,,,,,street_lamp,1,5.5kW,,,,,,,,,yes,,,,,,,,,,,,,
,POINT (-6.212557 53.2756693),,charging_station,,,,,ubitricity,,,,,,https://www.ubitricity.com,,yes,,,,1,,,,,suby1100009244,,,,,,,,,street_lamp,1,5.5kW,,,,,,,,,yes,,,,,,,,,,,,,
,POINT (-6.2134391 53.2759596),,charging_station,,,,,ubitricity,,,,,,https://www.ubitricity.com,,yes,,,,1,,,,,suby1100009233,,,,,,,,,street_lamp,1,5.5kW,,,,,,,,,yes,,,,,,,,,,,,,
,POINT (-6.2129826 53.2758163),,charging_station,,,,,ubitricity,,,,,,https://www.ubitricity.com,,yes,,,,1,,,,,suby1100009242,,,,,,,,,street_lamp,1,5.5kW,,,,,,,,,yes,,,,,,,,,,,,,
,POINT (-6.3876261 53.392111),,charging_station,,,,EC Charging Station,EC Charging,,,,,,,,yes,,,,4,,,,,IE*ECC*ECE7048*1;IE*ECC*ECE7049*1;IE*ECC*ECE7051*1;IE*ECC*ECE7052*1,,,,,,,,,,4,7kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.5323845 53.1713191),,charging_station,,,,EV Charge Point,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2384835 53.3459573),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,4,,,,,C6N43;C7MN0,,,,,,,,,,2,22kW,,2,50kW,,,2,50kW,,yes,yes,,,,,,,,,,,,
,POINT (-6.3253107 53.296198),,charging_station,,,,EasyGo Charging Station,EasyGo,,,Q110158632,,,,,yes,,,,2,,,,,IE*EGO0218-01;IE*EGO0218-02,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.3767378 53.3776045),,charging_station,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2735349 53.2690113),,charging_station,,,,EV Charging Point,Dún Laoghaire-Rathdown County Council,,,,,,,,no,,,,2,,,,,,,,,,,,,,,2,22kW,,,,,,,,,,,,yes,,,,,,,,,,
,POINT (-6.2277058 53.2586948),,charging_station,,,,EV Charging Point,Dún Laoghaire-Rathdown County Council,,,,,,,,no,,,,10,,,,,,,,,,,,,,,10,7.2kW,,,,,,,,,,,,yes,,,,,,,,,,
,POINT (-6.1767482 53.2877676),,charging_station,,,,,,,,,,,,customers,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1243752 53.1898374),,charging_station,,,,Lidl Electric Vehicle Rapid Chargers,EasyGo;Lidl,,,,,,,,yes,,,,2,,,,,IE*EGO0517-01,,,,,,,,,,1,44kW,,1,50kW,,,1,50kW,,yes,yes,,,,,,,,,,,,
yes,POINT (-6.2177584 53.2739208),Bracken Road,charging_station,"Tesla, Inc.",Q478214,,Dublin Supercharger,"Tesla, Inc.",,24/7,Q478214,,,https://www.tesla.com/findus/location/supercharger/dublinsandyford,customers,yes,,Dublin,,4,,IR,92,,,,,no,,,,,Tesla,,,,,,,520,480,,,,,,,,,,,,4,250 kW,,,,
,POINT (-6.2269441 53.3275118),,charging_station,,,,EV Charging Stations,,,,,,,,permissive,no,,,,6,,,,,,,,,,,,,,,6,5kW,,,,,,,,,,,,yes,,,,,,,,,,
,POINT (-6.4006577 53.3955411),,charging_station,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2279092 53.3488067),,charging_station,,,,flowbird park & charge,flowbird,,,,,,,,yes,,,,10,,,,,LP00335F;LP00335E;LP00335D;LP00336B;LP00336F;LP003371;LP003370;LP00336A;LP003372;LP003373,,,,-1,,,,,,10,7kW,,,,,,,,,yes,,,,,,,,,,,,,
,POINT (-6.1562705 53.4503654),,charging_station,,,,Ubitricity Lamp Post,Ubitricity,,,,,,,,no,,,,1,,,,,IDsuby1100008913,,,,,,,,,,1,5.5kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.152151 53.4509965),,charging_station,,,,Ubitricity Lamp Post,Ubitricity,,,,,,,,no,,,,1,,,,,IDsuby1100002775,,,,,,,,,,1,5.5kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3462906 53.2868401),,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2991861 53.3470559),,charging_station,,,,EC Charging Fast Charger,,,,,,,,permissive,yes,,,,2,,,,,IE*ECC*ECE7099;IE*ECC*ECE7100,,,,,,,,,,2,43kW,,2,50kW,,,2,50kW,,,,,,,,,,,,,,,
,POINT (-6.3060151 53.3900761),,charging_station,,,,EasyGo Charging Station,EasyGo,,,Q110158632,,,,,yes,,,,4,,,,,IE*EGO0540-01;IE*EGO0540-02,,,,,,,,,,2,22kW,,1,75kW,,,1,75kW,,yes,yes,,,,,,,,,,,,
,POINT (-6.2305221 53.3449615),,charging_station,,,,USB for phones (4x),,,,,,,,,,,,,,,,,,,,,,,,in the bench,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2548959 53.3391279),,charging_station,,,,,,,,,,,,permissive,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3396575 53.2873399),,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2786216 53.3197369),,charging_station,,,,,,,,,,,,private,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3189845 53.2829494),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3189942 53.2829254),,charging_station,,,,ESB Electric Vehicle High Power Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1622781 53.2605063),,charging_station,,,,,DLR County Council,,,,,,,yes,no,,,,2,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,Rolec,,,
,POINT (-6.1591344 53.5251358),Ashe Street,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Rapid Charger,EasyGo,Lidl,,Q110158632,,,https://easygo.ie/,permissive,yes,,Lusk,,2,,,,,,,,,,,,,,,,,,1,30kW,,,1,30kW,,yes,yes,,,,,,,,,,,,
,POINT (-6.2734441 53.2737747),,charging_station,,,,,Dun Laoghaire Rathdown County Council,,,,,,,private,,,,,2,,,,,,Park Staff only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,POINT (-6.1785181 53.3807462),,charging_station,ESB,,,High Power Charge Point,ESB ecars,,,,,,,yes,yes,,,,2,,,,,C7QJ3,,,no,,,,,,,,,,2,,375,400,2,,,,,,,,,,,,,,yes,150 kW,
yes,POINT (-6.1784605 53.3807488),,charging_station,ESB,,,Fast Charge Point,ESB ecars,,,,,,,yes,yes,,,,2,,,,,C6JUJ,,,no,,,,,,,1,,,1,,125,400,1,,,,,,,,,,,,,,yes,50 kW,
,"POLYGON ((-6.5446819 53.3440689, -6.5446749 53.3440283, -6.5446376 53.3440306, -6.5446446 53.3440712, -6.5446819 53.3440689))",,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[10902732568, 10902732569, 10902732570, 10902732571, 10902732568]"
,"POLYGON ((-6.5446446 53.3440712, -6.5446376 53.3440306, -6.5446006 53.3440328, -6.5446076 53.3440735, -6.5446446 53.3440712))",,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[10902732571, 10902732570, 10902732572, 10902732573, 10902732571]"
